date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:17	325304/325304	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:41:52%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fMZg.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:18	326048/326048	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:01%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuGKYMZg.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuGKYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:18	326468/326468	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:02%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuFuYMZg.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuFuYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:19	327324/327324	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:00%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuDyYMZg.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuDyYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:19	327260/327260	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:02%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuBWYMZg.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuBWYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:19	86048/86048	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2010%20Sep%202025%2016:49:37%20GMT	https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs13FvgUE.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs13FvgUE.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:20	86312/86312	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2010%20Sep%202025%2016:47:48%20GMT	https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs169vgUE.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs169vgUE.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:20	86068/86068	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2010%20Sep%202025%2016:47:47%20GMT	https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvgUE.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1_FvgUE.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:20	86428/86428	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2010%20Sep%202025%2016:47:47%20GMT	https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs18NvgUE.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs18NvgUE.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
16:05:21	86444/86444	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2010%20Sep%202025%2016:47:46%20GMT	https://fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1y9ogUE.ttf	C:/Users/zhangwb/Desktop/bast/20260520/website/fonts.gstatic.com/s/oswald/v57/TK3_WkUHHAIjg75cFRf3bXL8LICs1y9ogUE.ttf	(from https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Oswald:wght@200..700&display=swap)
